Year,16-24,25-34,35-54,55-64,65+
2011,59,54,33,12,3
2012,66,60,43,19,5
2013,77,73,60,32,8
2014,88,84,72,39,14
2015,90,87,80,50,18
2016,90,91,83,42,23
2017,96,96,88,47,26
2018,95,95,91,51,34
2019,96,96,91,55,49
2020,99,98,95,70,55
2021,99,98,96,83,66
2022,99,98,98,88,70
2023,99,99,98,93,72
2024,99,99,99,95,78
2025,100,99,99,95,79
2026,100,99,99,96,83
2027,100,99,99,96,86
2028,100,99,99,96,88
2029,100,99,99,96,91
2030,100,100,99,97,92
2031,100,100,99,97,94
2032,100,100,99,98,94
2033,100,100,99,98,95
2034,100,100,99,98,95
2035,100,100,99,98,96
2036,100,100,99,98,96
2037,100,100,99,99,96
2038,100,100,99,99,97
2039,100,100,100,99,97
2040,100,100,100,99,97
2041,100,100,100,99,97
